Zeit  1 - Schnelle Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
0,132500006293412	-1,17291667970676E-03	0,349158302880824	0,104387533850968	
0,13291667297987	1,50000001667649E-04	0,673119614832103	0,446346696466208	
0,133333339666327	1,49375001660701E-03	1,05107447877526	0,669520044699311	
0,133750006352784	1,47916668311154E-03	1,00787963718176	0,446346696466208	
0,134166673039241	6,89583340999889E-04	0,39595271460712	-0,190777217037976	
0,134583339725699	2,66666669631377E-04	-0,266368189826608	-0,737911877222359	
0,135000006412156	1,04166667824757E-04	-0,687517895363271	-0,917890383861959	
0,135416673098613	2,22916669144979E-04	-0,755909727886319	-0,748710587620735	
0,13583333978507	8,54166676163004E-05	-0,579530791379511	-0,485941967926919	
0,136250006471528	-1,56250001737135E-04	-0,212374637834728	-6,83918325230479E-02	
0,136666673157985	-8,54166676163004E-05	0,237571628764272	0,266368189826608	
0,137083339844442	1,06250001181252E-04	0,507539388723671	0,302363891154528	
0,1375000065309	1,43750001598164E-04	0,640723483636975	0,273567330092192	
0,137916673217357	3,06250003404784E-04	0,575931221246719	4,67944117262959E-02	
0,138333339903814	6,87500007643393E-04	-0,147582375444472	-0,593929071910679	
0,138750006590271	8,04166675607121E-04	-1,1230658814311	-1,43622848298401	
0,139166673276729	1,05000001167355E-03	-1,42183020245284	-1,799785066396	
0,139583339963186	1,46666668297257E-03	-0,971883935853839	-1,45422633364797	
0,140000006649643	1,99791668887883E-03	-0,241171198897064	-0,781106718815863	
0,1404166733361	2,49166669436818E-03	7,19914026558399E-02	-0,500340248458087	
0,140833340022558	2,80208336448595E-03	0,003599570132792	-0,673119614832103	
0,141250006709015	3,46875003856439E-03	-0,165580226108432	-0,953886085189879	
0,141666673395472	5,06875005635266E-03	-0,129584524780512	-0,777507148683071	
0,14208334008193	6,05416673397485E-03	-0,12598495464772	-0,403151854872704	
0,142500006768387	5,1791667242469E-03	-0,435547986067832	-0,334760022349656	
